Players,PG,SG,SF,PF,C,Year 1,Year 2,Year 3,Year 4,Year 5,Salary,SUNS,EWA,TS%,AST,TO,REBR,POP
Terrance Ferguson,0,1,1,0,0,0,0,0,1,0,1.785,0,-1.3,0.48,13.2,9.4,7.4,0
Sindarius Thornwell,0,1,1,0,0,0,0,1,0,0,0.815615,0,-1.3,0.511,14,9.9,4.8,0
Jameer Nelson,1,0,0,0,0,1,0,0,1,0,4.73605,0,-1.4,0.489,35.9,13.4,5.6,0
Timothe Luwawu-Cabarrot,0,1,1,0,0,0,0,1,0,0,1.3866,0,-1.4,0.489,26.8,11.9,6.1,0
DeAndre Liggins,0,1,0,0,0,0,1,0,0,1,1.57723,0,-1.5,0.421,23.9,10.5,5.9,0
Patrick McCaw,0,1,1,0,0,1,0,0,1,0,1.312611,0,-1.5,0.477,22.4,11.3,4.8,0
Jawun Evans,1,0,0,0,0,0,0,1,0,0,0.815615,0,-1.5,0.546,14.2,12.1,4.7,0
Jerryd Bayless,1,1,0,0,0,0,1,0,0,1,9,0,-1.6,0.508,13.5,9.8,5.5,0
Arron Afflalo,0,1,1,0,0,1,0,0,1,0,2.328652,0,-1.6,0.525,11.5,11.4,6.2,0
Dillon Brooks,0,1,1,0,0,0,0,1,0,0,0.815615,0,-1.6,0.431,14.4,8.7,9.4,0
Dwayne Bacon,0,0,1,0,0,0,0,1,0,0,0.815615,0,-1.6,0.51,11.1,12.4,10.2,0
Quincy Acy,0,0,0,1,1,1,0,0,1,0,1.709538,0,-1.8,0.588,16.8,6.5,4,0
Tony Snell,0,1,1,0,0,0,0,0,1,0,9.821429,0,-1.9,0.534,16.8,9.4,5.8,0
JR Smith,0,1,0,0,0,0,0,1,0,0,13.76,0,-2,0.445,13.8,12.9,8.5,0
Paul Zipser,0,0,1,1,0,0,0,1,0,0,1.312611,0,-2.2,0.537,12.1,11.7,11,0
PJ Tucker,0,0,1,0,0,0,0,0,1,0,7.590035,0,-2.3,0.415,8.6,11.2,9.2,0
Josh Huestis,0,0,1,0,0,1,0,0,1,0,1.471382,0,-2.5,0.518,12.1,11.5,7,0
Lance Thomas,0,0,0,1,0,0,0,1,0,0,6.655325,0,-2.7,0.469,11.7,9.5,0,0
Sean Kilpatrick,0,1,0,0,0,0,0,1,0,0,1.524305,0,-2.7,0.434,27.4,14.7,5.7,0
Frank Ntilikina,1,1,0,0,0,0,0,0,1,0,3.50112,0,-3.3,0.446,8.7,9.6,7.3,0
Semi Ojeleye,0,0,1,1,0,0,0,0,1,0,1.291892,0,-3.8,0.513,17.9,15.3,8.8,0
Dragan Bender,0,0,0,1,1,0,0,1,0,0,4.4688,0,-4.8,0.557,15.9,13.4,26.4,0
