Players,PG,SG,SF,PF,C,Year 1,Year 2,Year 3,Year 4,Year 5,Salary,SUNS,EWA,TS%,AST,TO,REBR,POP
Pascal Siakam,0,0,0,1,1,0,0,1,0,0,1.312611,0,2.6,0.527,17.1,8.9,3.4,0
Reggie Jackson,1,1,0,0,0,0,0,1,0,0,16,0,2.5,0.579,20.1,8.8,6.4,0
Ersan Ilyasova,0,0,0,1,0,1,0,0,1,0,6,0,2.5,0.543,12.8,6.8,8.5,0
Tyler Johnson,1,1,0,0,0,0,0,1,0,0,5.88126,0,2.5,0.628,13.8,10.5,7.1,0
D'Angelo Russell,1,1,0,0,0,0,1,0,0,1,5.56236,0,2.5,0.555,14.4,12.3,6.5,0
Deyonta Davis,0,0,0,1,1,0,1,0,0,1,1.312611,0,2.5,0.536,12.8,10.8,15.4,0
Jamal Crawford,1,1,0,0,0,0,1,0,0,1,10.942762,0,2.4,0.609,12.5,10.5,13,0
Frank Kaminsky,0,0,0,1,1,0,1,0,0,1,2.8476,0,2.4,0.652,13.3,7.8,5.7,0
Shabazz Napier,1,1,0,0,0,1,0,0,1,0,2.36136,0,2.4,0.591,10.1,9.2,11.4,0
Joe Harris,0,1,1,0,0,1,0,0,1,0,1.524305,0,2.4,0.542,11.7,10.1,9.2,0
Malcolm Brogdon,1,1,0,0,0,0,1,0,0,1,1.312611,0,2.4,0.574,35.3,9,5.3,0
Gorgui Dieng,0,0,0,1,1,0,0,0,1,0,14.11236,0,2.3,0.616,14.7,14.7,16.1,0
Kyle Korver,0,1,1,0,0,0,0,1,0,0,7,0,2.3,0.658,15.6,17.4,19.4,0
Jonathon Simmons,0,1,1,0,0,0,0,1,0,0,6.3,0,2.3,0.542,9.1,8.1,9.4,0
Nene,0,0,0,1,1,0,0,1,0,0,3.4776,0,2.3,0.551,11.2,15.3,17.1,0
Thabo Sefolosha,0,1,1,0,0,0,1,0,0,1,5.25,0,2.2,0.581,21.8,10.3,5.7,0
Mario Hezonja,0,1,1,0,0,1,0,0,1,0,4.07832,0,2.2,0.535,9.3,6.5,9,0
Tyus Jones,1,0,0,0,0,0,1,0,0,1,1.471382,0,2.2,0.542,14.5,13.3,8.9,0
Daniel Theis,0,0,0,0,1,0,1,0,0,1,0.815615,0,2.2,0.554,7.1,5.1,6.3,0
Tyson Chandler,0,0,0,0,1,0,1,0,0,1,13,1,2.1,0.613,8.5,7.9,16.5,0
George Hill,1,1,0,0,0,0,0,1,0,0,20,0,2,0.566,23.8,12.8,15.1,0
Bismack Biyombo,0,0,0,1,1,0,0,1,0,0,17,0,2,0.53,11.4,11,17.4,0
Michael Kidd-Gilchrist,0,0,1,1,0,0,0,1,0,0,13,0,2,0.531,19.2,8.8,4,0
Taurean Prince,0,0,1,0,0,0,0,1,0,0,2.42256,0,2,0.632,15.7,11.4,15.1,0
Kelly Oubre Jr.,0,1,1,0,0,0,1,0,0,1,2.09304,0,2,0.566,24.2,9.5,10.4,0
Austin Rivers,1,1,0,0,0,0,1,0,0,1,11.825,0,1.9,0.585,14.8,7.2,7.9,0
Amir Johnson,0,0,0,1,1,1,0,0,1,0,11,0,1.9,0.559,13.7,8.7,11.2,0
JaMychal Green,0,0,0,1,0,0,1,0,0,1,8.533333,0,1.9,0.503,20.3,12.1,12.6,0
CJ Miles,0,1,1,0,0,0,0,1,0,0,7.936509,0,1.9,0.513,11,11.1,13.2,0
Omri Casspi,0,0,1,1,0,1,0,0,1,0,2.10647,0,1.9,0.497,24.4,8.6,6.4,0
Jabari Parker,0,0,1,1,0,1,0,0,1,0,6.782392,0,1.8,0.573,12.6,6.1,7.4,0
Lance Stephenson,0,1,1,0,0,0,1,0,0,1,4.18,0,1.8,0.527,22.5,9.1,10,0
Ekpe Udoh,0,0,0,1,1,0,1,0,0,1,3.2,0,1.8,0.561,15.1,11.1,10.5,0
Davis Bertans,0,0,0,1,1,1,0,0,1,0,1.312611,0,1.8,0.602,12,12.8,15.3,0
Cody Zeller,0,0,0,1,1,0,0,0,1,0,12.58427,0,1.7,0.614,11.6,9.7,12.2,0
Trevor Ariza,0,1,1,1,0,1,0,0,1,0,7.420912,0,1.7,0.57,13.8,13,11.8,0
Mike Muscala,0,0,0,1,1,0,1,0,0,1,5,0,1.7,0.542,13.7,11.9,17.9,0
Raymond Felton,1,1,0,0,0,1,0,0,1,0,2.328652,0,1.7,0.504,6.9,6.9,10.1,0
Denzel Valentine,0,1,1,0,0,0,0,1,0,0,2.1864,0,1.7,0.618,7.1,9.7,19.9,0
Skal Labissiere,0,0,0,1,1,0,0,1,0,0,1.312611,0,1.7,0.56,15.7,12,0,0
David Nwaba,0,1,1,0,0,1,0,0,1,0,1.312611,0,1.7,0.581,14.5,10.8,13.3,0
Dennis Smith Jr.,1,0,0,0,0,0,0,0,1,0,3.21828,0,1.6,0.473,21,11.9,7,0
Carmelo Anthony,0,0,1,1,0,0,1,0,0,1,26.24376,0,1.6,0.573,9.2,11.1,18.5,0
Tristan Thompson,0,0,0,1,1,0,0,1,0,0,16.4,0,1.6,0.605,11,11.4,9.9,0
Trevor Booker,0,0,0,1,0,1,0,0,1,0,9.125,0,1.6,0.582,9.4,6.4,6.1,0
Markieff Morris,0,0,0,1,0,0,1,0,0,1,8,0,1.6,0.534,23.4,10.7,5.7,0
Joffrey Lauvergne,0,0,0,1,1,0,1,0,0,1,1.524305,0,1.6,0.526,11.1,10.1,10.3,0
Kevon Looney,0,0,0,1,1,0,1,0,0,1,1.471382,0,1.6,0.548,20.6,13.1,5.9,0
Cheick Diallo,0,0,0,1,1,0,1,0,0,1,1.312611,0,1.6,0.556,16.9,7.5,16,0
Wayne Ellington,0,1,0,0,0,1,0,0,1,0,6.27,0,1.5,0.52,32.7,11,6.7,0
Mike Scott,0,0,0,1,0,1,0,0,1,0,1.709538,0,1.5,0.586,11.7,8.7,9.9,0
Andrew Harrison,1,1,0,0,0,0,1,0,0,1,1.312611,0,1.5,0.614,12.1,21.3,15.3,0
Marvin Williams,0,0,0,1,0,0,0,1,0,0,13.16875,0,1.4,0.506,29,9.7,5.1,0
Alec Burks,0,1,0,0,0,0,1,0,0,1,10.845506,0,1.4,0.596,12.7,9.6,7,0
Shelvin Mack,1,1,0,0,0,0,1,0,0,1,6,0,1.4,0.581,15.9,9.1,5.1,0
Manu Ginobili,1,1,0,0,0,0,1,0,0,1,2.5,0,1.4,0.444,34,12.3,10.8,0
Richaun Holmes,0,0,0,1,1,0,1,0,0,1,1.471382,0,1.4,0.642,13.5,8.6,7.7,0
Ian Mahinmi,0,0,0,0,1,0,0,1,0,0,16.661641,0,1.3,0.558,12.2,15.9,19.8,0
Tony Parker,1,0,0,0,0,1,0,0,1,0,15.453126,0,1.3,0.481,9.2,11.1,9.4,0
Maurice Harkless,0,0,1,1,0,0,0,1,0,0,10.162922,0,1.3,0.545,11.3,7.2,8.3,0
E'Twaun Moore,0,1,1,0,0,0,0,1,0,0,8.445024,0,1.3,0.551,5,5,8.1,0
Lonzo Ball,1,1,0,0,0,0,0,0,1,0,6.28656,0,1.3,0.562,19.8,10.3,5.3,1
Nerlens Noel,0,0,0,1,1,1,0,0,1,0,4.187599,0,1.3,0.499,13.9,8.3,7.7,0
Anthony Tolliver,0,0,0,1,0,1,0,0,1,0,3.29,0,1.3,0.483,23.2,9.9,7.5,0
Josh Jackson,0,0,1,1,0,0,0,0,1,0,5.09004,1,1.2,0.603,15.8,9.7,16,0
Danilo Gallinari,0,0,1,0,0,0,0,1,0,0,20.559599,0,1.2,0.564,21.5,10.1,4.2,0
Devin Harris,1,1,0,0,0,1,0,0,1,0,4.402546,0,1.2,0.52,13.9,9.3,7.7,0
Zach LaVine,1,1,1,0,0,1,0,0,1,0,3.202217,0,1.2,0.547,35.5,13.7,7.2,0
Gerald Green,0,1,1,0,0,1,0,0,1,0,0.947248,0,1.2,0.578,19.7,10,7.5,0
Chandler Parsons,0,0,1,0,0,0,0,1,0,0,23.112004,0,1.1,0.596,12.8,10.1,8.1,0
Wesley Matthews,0,1,1,0,0,0,1,0,0,1,17.884176,0,1.1,0.541,17.3,8.3,5.2,0
Patty Mills,1,1,0,0,0,0,0,0,1,0,10.714286,0,1.1,0.533,10.7,9.8,13.9,0
Danny Green,0,1,1,0,0,0,1,0,0,1,10,0,1.1,0.593,9.6,6.8,10.8,0
James Ennis III,0,0,1,0,0,1,0,0,1,0,3.02841,0,1.1,0.543,12.9,7,6.3,0
tj McConnell,1,1,0,0,0,0,1,0,0,1,1.471382,0,1.1,0.598,16.1,10.1,11.6,0
Frank Mason III,1,0,0,0,0,0,0,1,0,0,1.184385,0,1.1,0.5,19.8,10.1,12.6,0
Ryan Anderson,0,0,0,1,0,0,0,1,0,0,19.578455,0,1,0.572,10,5.9,12.6,0
Al-Farouq Aminu,0,0,1,1,0,0,1,0,0,1,7.319035,0,1,0.541,8.6,8.6,11,0
Nemanja Bjelica,0,0,1,1,0,1,0,0,1,0,3.949999,0,0.9,0.589,6.6,17.5,17,0
Jodie Meeks,0,1,1,0,0,0,1,0,0,1,3.29,0,0.9,0.543,17.2,10.1,9.5,0
Justise Winslow,0,1,1,0,0,0,1,0,0,1,2.70504,0,0.9,0.509,13.6,4.4,5.8,0
Wilson Chandler,0,0,1,1,0,0,1,0,0,1,12.016854,0,0.8,0.549,17.8,10.2,6.4,0
Jonas Jerebko,0,0,0,1,0,0,1,0,0,1,4,0,0.8,0.508,21.1,13.1,4.2,0
Tarik Black,0,0,0,1,1,1,0,0,1,0,3.29,0,0.8,0.614,15.5,14.8,12.5,0
Marreese Speights,0,0,0,1,1,1,0,0,1,0,2.116955,0,0.8,0.514,10.6,9.6,19.2,0
Cristiano Felicio,0,0,0,0,1,0,0,0,1,0,7.8435,0,0.7,0.507,14.3,12.6,15.9,0
Langston Galloway,1,1,0,0,0,0,0,1,0,0,6.666667,0,0.7,0.539,32.8,10.7,8.5,0
Isaiah Thomas,1,0,0,0,0,1,0,0,1,0,6.261395,0,0.7,0.591,22,8.7,6.3,0
Aron Baynes,0,0,0,0,1,1,0,0,1,0,4.328,0,0.7,0.511,31.7,17,19.2,0
Noah Vonleh,0,0,0,1,1,1,0,0,1,0,3.505233,0,0.7,0.48,23,12.4,6.9,0
Luke Kennard,0,1,1,0,0,0,0,0,1,0,2.75928,0,0.7,0.54,10.5,7.5,7.7,0
Allen Crabbe,0,1,1,0,0,0,0,1,0,0,19.3325,0,0.6,0.551,15.9,13,4.7,0
Andre Iguodala,0,1,1,0,0,0,0,1,0,0,14.814815,0,0.6,0.552,11.9,7.2,10.2,0
Emmanuel Mudiay,1,1,0,0,0,0,1,0,0,1,3.38148,0,0.6,0.598,13.3,7.3,11.3,0
Eric Moreland,0,0,0,1,1,0,0,1,0,0,1.739333,0,0.6,0.577,15.8,8.3,9.5,0
Quinn Cook,1,1,0,0,0,1,0,0,1,0,0.1,0,0.6,0.564,30.5,14.1,6.1,0
Channing Frye,0,0,0,1,1,1,0,0,1,0,7.420912,0,0.5,0.539,24.6,10.4,6.4,0
Wayne Selden,0,1,0,0,0,0,1,0,0,1,1.312611,0,0.5,0.517,13.8,8.5,6.9,0
Maximilian Kleber,0,0,0,1,1,0,1,0,0,1,0.815615,0,0.5,0.577,13.9,6.7,13.6,0
Shaun Livingston,1,1,0,0,0,0,0,1,0,0,7.692308,0,0.4,0.554,27.1,12.1,5.6,0
Milos Teodosic,1,0,0,0,0,0,1,0,0,1,6,0,0.4,0.506,26.1,8.3,6.9,0
Justin Holiday,0,1,0,0,0,0,1,0,0,1,4.615385,0,0.4,0.54,18.4,7.6,6.2,0
Josh Hart,1,1,0,0,0,0,0,0,1,0,1.39452,0,0.4,0.505,28,11.2,4.6,0
Tyler Cavanaugh,0,0,0,1,0,0,1,0,0,1,0.679919,0,0.4,0.478,23.4,12.5,5.3,0
Cory Joseph,1,1,0,0,0,0,1,0,0,1,7.63,0,0.3,0.521,10.1,6.1,9.2,0
Raul Neto,1,1,0,0,0,1,0,0,1,0,1.471382,0,0.3,0.543,18.1,11.8,9.9,0
Isaiah Taylor,1,1,0,0,0,0,1,0,0,1,1.312611,0,0.3,0.487,37.2,12.5,6.7,0
Yogi Ferrell,1,1,0,0,0,1,0,0,1,0,1.312611,0,0.3,0.538,14.3,11.3,6.9,0
Andre Roberson,0,1,1,0,0,0,0,1,0,0,9.259259,0,0.2,0.526,10.4,9.2,10.4,0
Corey Brewer,0,1,1,0,0,1,0,0,1,0,7.579366,0,0.2,0.605,12.5,12,10,0
De'Aaron Fox,1,1,0,0,0,0,0,0,1,0,4.6092,0,0.2,0.477,44.8,13.2,7.6,1
Cedi Osman,0,1,1,0,0,0,0,1,0,0,2.642857,0,0.2,0.528,20.5,12.1,11.5,0
Jarrett Jack,1,1,0,0,0,1,0,0,1,0,2.328652,0,0.2,0.516,16.6,8.8,8,0
